job_title,job_skills,cleaned_skills
Enterprise Data Manager/Product owner,"Data governance, Data lineage, Data interdependencies, Data standards, Data consistency, Governance rules, Governance controls, Data quality, Data analytics, Business intelligence, Data lakes, Data Warehouse, Data gaps, Data flows, Data catalogues, Relational databases, Data transformations, Data mappings, Data modelling, Data findings, Data recommendations, Data consolidation, Agile Product Owner, Healthcare IT systems, Electronic Medical Record systems, EDW, Data Maturity Model, Tableau, Power BI, Data modernization, Data security, Data stewards, Dashboards, Data assets, Data feeds, Data privacy, Data governance policies, Data governance meetings, Third party data, First party data, Derivative data, Second party data, Product backlog, Product development, Product stakeholders, Health Informatics, Public Health, Data Science, Epidemiology, Biostatistics, Public Policy, Health Policy, Health Services Research, Health Information Sciences, Computer Science, Data governance efforts, Data sharing projects, Agile Product Owner, Enterprisewide data governance, Data lakes, Data maturity models, Health and human services","agile, data warehouse, power bi, tableau"
IT Database Developer Senior - DBA Admin,"SQL Server, SSIS, Power BI, Azure, AWS, Windows, Linux, PowerShell, SQL DBA, System Utilities, Debugging Tools, Monitoring Tools, Corporate Database Standards, Strategic Database Technologies, Data Management Principles, Data Management Techniques, Information Systems","aws, azure, linux, power bi, powershell, sql, sql server, ssis"
Contractor - Epic Clarity Data Analyst - Revenue Cycle,"Revenue Cycle, Healthcare Data Analysis, Data Visualization, Epic Clarity Reporting, SQL, Python, R, Analytic Methods, Statistical Methods, Project Management, Agile Development, Communication Skills, Technical Abilities, Epic Revenue Cycle Certification, Certified Health Data Analyst (CHDA) certification, Bachelor of Science degree, 4+ years of relevant experience, 2+ years of data analysis in healthcare, Strong grasp of analytic and statistical methods, Clinical Experience, Excellent written and oral communication skills, Excellent organizational and analytical skills, Strong technical abilities","agile, python, sql"
Data Engineering Architect,"Data Engineering, Data Architect, Data Infrastructure, Data Pipelines, AWS S3, AWS EMR, GraphQL API, Data Science, Data Analysis, SQL, NoSQL, DataFocused Programming Languages, Python, R, Scala, Petabytes of Data, Bachelor's Degree, Master's Degree, AWS Certified Cloud Data Engineer, ETL Systems, ELT Systems","aws, elt, etl, graphql, python, sql"
"Staff Data Engineer, Fleet Analytics","Data analytics, Data engineering, Data science, Data processing, Data pipelines, Data visualizations, Machine learning, Software engineering, Python, SQL, Scala, Hadoop Distributed File System (HDFS), Spark, Presto, Linux, Ansible, Docker, Kubernetes, Jupyter Notebooks, Pandas, Bokeh, Superset, Airflow, Statistics, Communication skills, Problemsolving skills","ansible, docker, hadoop, kubernetes, linux, machine learning, python, spark, sql"
"Senior Data Engineer - Azure, Python, Scala, Spark","Azure, ADLS, Databricks, Stream Analytics, SQL DW, COSMOS DB, Analysis Services, Azure Functions, Serverless Architecture, ARM Templates, Python, SQL, Scala, SparkSQL, Hadoop, Spark, Kafka, Postgres, Cassandra, Azkaban, Luigi, Airflow, Storm","azure, cassandra, hadoop, kafka, python, spark, sql"
"Senior Data Engineer, Public Company","Data Engineering, Business Intelligence, Data Science, Python, Snowflake, Airflow, Kubernetes, Docker, Helm, Spark, pySpark, SQL, TDD, Pair Programming, Continuous Integration, Automated Testing, Deployment, StreamProcessing Systems, Kafka, Storm, SparkStreaming, Dimensional Data Modeling, Schema Design, ETL, Data Warehouses, Data Management Tools, Data Classification, Data Retention","data modeling, docker, etl, kafka, kubernetes, python, spark, sql, tdd"
IT- Data Lifecycle Manager,"Data Lifecycle Management, File System Management, Data Governance, Network Share Management, Project Folder/File Structure Creation, Network Share/File/Folder Permissions Management, Large Data Set Migration, Legacy to Modern Systems Data Transfer, NonHomogenous File/Directory Structures Data Integration, Microsoft Distributed File Systems, Windows Server OS Administration, Microsoft Office 365, Active Directory, Granular NTFS File Permissions, Windows File ACLs, NFS Shares, CloudBased Storage Systems, Azure, AWS, Communication Skills, Troubleshooting, Organizational Skills, SQL","active directory, aws, azure, sql, windows server"
"Lead Software Engineer, Full Stack (Enterprise Data)","Software Engineering, Microservices, Full Stack Development, Cloud Computing (AWS Microsoft Azure Google Cloud), Programming Languages (Python Go), AWS Tools and Services, Data Management, Data Compliance, Mentoring, Technical Problem Solving, Agile Practices, People Management, Open Source Frameworks (Airflow Spark Presto Snowflake), Regulatory Compliance","agile, aws, azure, go, google cloud, microservices, python, spark"
Senior Architect - Data Analytics Product Line,"Senior Architect, Data Analytics, Product Line, Project Management, Design, Strategy, Agile Development, Collaboration, Presentation Skills, Leadership, Communication, Business Acumen, Master's Degree, Computer Science, Engineering, Math, Security Clearance, Washington DC",agile
VCP Design to Value Project Manager and Data Analyst-MR,"Variable Cost Productivity, Data Analytics, Costbenefit Analysis, Return on Investment Analysis, Product Configuration Management, Locally Sourced Items, Data Mining, LEAN, Six Sigma, ISO, CFDA, SQL, HTML, CSS, JavaScript, Python, C++, Java","c++, css, html, java, javascript, python, sql"
"Lead Data Engineer, (Python, Java or Scala)","Python, Java, Scala, Agile, Data Modeling, Machine Learning, Distributed Microservices, Cloud Computing, AWS, Microsoft Azure, Google Cloud, Open Source RDBMS, NoSQL, Cloudbased Data Infrastructure, SQL, Hadoop, Hive, EMR, Kafka, Spark, Gurobi, MySQL, UNIX/Linux, Agile Engineering Practices","agile, aws, azure, data modeling, google cloud, hadoop, hive, java, kafka, linux, machine learning, microservices, mysql, python, spark, sql"
Data Scientist,"Data science, Machine learning, Artificial intelligence, Data management, Data analysis, Data visualization, Business intelligence, Data mining, R, Python, Pytorch, Tensorflow, Model building","artificial intelligence, machine learning, python, pytorch, tensorflow"
Senior Data Analyst,"Data Analysis, Reporting, Team Management, Data Systems Improvement, SQL, Tableau, Excel, Leadership, Decision Making, Time Management, Communication, Team Work, Annual Leave, Benefits, Performance Bonus, Pension Scheme, Life Assurance, Colleague Discount, Training","excel, sql, tableau"
Data Visualization / Business Intelligence Analyst (3019),"Data Visualization, Business Intelligence, Power BI, DAX, SQL, TransactSQL, OLTP, OLAP, ETL/ELT, Excel, Data Structures, Data Integrity, Software Development Lifecycle, Security, Privacy, Documentation, Communication, Interpersonal Skills, Presentation Skills, Critical Thinking, Problem Solving, Analytical Skills, Initiative, Teamwork, Time Management, Prioritization, DoD 8570, SECNAV 5239.2, Secret Clearance or ability to obtain, Bachelor's degree in Computer Science Information Systems or Computer Engineering, 4 years related experience, 3+ years of BI development using Power BI or equivalent tool, 3+ years of SQL and databases, 3+ years of Excel experience, Knowledge of ETL/ELT techniques and methodologies along with best practices, Exceptional analytical critical thinking and problemsolving abilities, Highly selfdirected, Takes initiative, Can work independently while being a strong contributor to a team, Effective prioritization and time management skills, Can thrive in a dynamic environment in which priorities might change frequently, Excellent communication and interpersonal skills, Strong documentation and presentation skills, Work requires CSWF certification, Security+ or CISSP","cissp, dax, elt, etl, excel, power bi, sql"
"Principal Associate, Data Loss Prevention (DLP) Engineer","Data Loss Prevention (DLP), Cybersecurity, DLP Controls, SaaS, IaaS, Information Security Policy, Standards, Web proxy, Email solutions, Endpoint solutions, Communication skills, Technical initiatives, Collaboration, Enterprise cybersecurity, Technical delivery, Product security, Software development practices, Platform engineering, Troubleshooting, Investigating, Configuring, Supporting, Data protection, Symantec Data Loss Prevention (DLP), High School Diploma, GED, Cybersecurity, Information technology, Agile delivery model, Public cloud security, Multicloud environments, JIRA, CISSP, GIAC, CISM, CCSP, CISA, Security+, AWS Cloud Practitioner, AWS Solution Architect  Associate, AWS Developer  Associate, AWS Security  Specialty, AWS Solution Architect  Professional, McLean VA, Performancebased incentive compensation, Health, Financial benefits, Capital One Careers website, Equal opportunity employer, Diversity and inclusion, Accommodation during the application process, Technical support, Recruiting process","agile, aws, cism, cissp, jira"
Senior Data Architect,"Data Modelling, Data Architecture, Data Governance, Data Standards, Data Analysis, Data Synthesis, Data Profiling, Source System Analysis, Metadata Management, AWS, Azure, SQL Server, RedShift, JIRA, Confluence, Draw IO, Visio, Collibra, Informatica, Communicating between Technical and NonTechnical Subjects, Engaging Collaboratively with Stakeholders, Leading Process Development, Evaluating Existing Data Systems, Providing Comprehensive Documentation, Championing Opportunities for Enhancing Current Data Architecture, Designing Data Architecture that Deals with Problems Spanning Different Business Areas, Identifying Similarities between Problems to Devise Common Solutions, Understanding the Impact on the Organisation of Emerging Trends in Data Tools Analysis Techniques and Data Usage, Working within a Strategic Context and Communicating How Activities Meet Strategic Goals","aws, azure, confluence, jira, sql server"
"Senior Data Engineer, Public Company","Python, Data Engineering, Data Science, Business Intelligence, Snowflake, Airflow, Kubernetes, Docker, Helm, Spark, PySpark, SQL, Data Warehouses, Kafka, Storm, SparkStreaming, ETL, TDD, Pair Programming, Continuous Integration, Deployment, Agile Engineering Practices, Dimensional Data Modeling, Schema Design, Legal Compliance, Data Classification, Data Retention","agile, data modeling, docker, etl, kafka, kubernetes, python, spark, sql, tdd"
Senior ML Engineer,"Machine learning, Deep learning, Computer vision, Object detection, Python, C++, Linux, Git, Automotive AI, Medical device, Data pipelines, Design, Deployment, Algorithm optimization","ai, c++, computer vision, deep learning, git, linux, machine learning, python"
"Director, Ontology and Data Modeling","Ontology, Data Modeling, Linked Data, SPARQL, Graph Databases, Python, R, JSON, OpenAPI/YAML, AVRO, SQL, Protégé, TopQuadrant, PoolParty, Stardog, AnzoGraph, Neptune, Data.World, Agile Principles, Processes, Methodologies, Amazon Web Services, Communication Skills, Project Management, ProblemSolving, DetailOrientation, Reading Comprehension, Writing Skills","agile, data modeling, python, sql"
Sr. Data Scientist,"Data Analytics, Data Engineering, Data Mining, Exploratory Analysis, Predictive Analysis, Statistical Analysis, Artificial Intelligence, Machine Learning, Data Visualization, Microsoft Office (Power BI), Tableau, R, Python, SQL, MultiINT Analytics, Automated Predictive Analytics, TS/SCI, Master's Degree, Bachelor's Degree, 12+ Years of Experience, 5+ Years of Related Experience","artificial intelligence, machine learning, power bi, python, sql, tableau"
Sr. Data Engineer - ETL with Security Clearance,"ETL, Master Data Management, Data pipelines, Databricks, AWS services, Data quality, Data validation, Data cleansing, Data enrichment, Agile Scrum SDLC, Unit testing, Integration testing, User acceptance testing, Scala, Java, Apache Spark, AWS Glue, Data Lakehouse architecture, OpenSearch, Amazon S3, Amazon Redshift, Tika, Docker, ElasticSearch, NoSQL databases, AWS Lambda, SQS, NiFi","agile, apache, aws, docker, elasticsearch, etl, java, scrum, sdlc, spark"
Assitant Vice President - Senior Database SME,"Database Platform Operations, Microsoft SQL Server, Oracle, Sybase ASE, MongoDB, Snowflake, Unix / Linux, Windows Server, Bash, PowerShell, Python, SQL, TSQL, PLSQL, Clustering, HighAvailability, Replication, Disaster Recovery, Backup and Recovery, SQL and Systems Performance Tuning, Network Optimization, Storage Optimization, Server Optimization, Virtualisation, Logical and Physical Database Design, CIS Security Hardening, Security and Auditing, AWX / Ansible Tower, Git, Ansible, Terraform, TeamCity, Serena Deployment Automation (SDA), Jenkins, Kubernetes, Docker, Infrastructure as Code, Continuous Integration (CI), Continuous Development (CD), Agile, Site Reliability Engineering, DevOps, Active Directory, LDAP, Kerberos, BMC ControlM, Oracle Cloud Control, IBM Tivoli / Netcool, Oracle ODA, Nutanix HCI, VMWare ESX, Networking Protocols (TCP/IP DNS DHCP VLAN’s), Cloud Computing, IaaS, PaaS, SaaS, Azure, AWS, GCP, Oracle, GDPR, SOX, Dell EMC PowerStore (SAN), Isilon (NAS), Rubrik, EMC Networker, Data Domain, IBM Tivoli Storage Manager, CyberArk, Splunk, Qualys, Cisco Tetration, ServiceNow, JIRA, Confluence, Communication, Interpersonal Skills, Pressure Handling, ProblemSolving Skills, ResultsDriven, Accountability, Proactive Approach, Motivation, Urgency Management, Prioritization, Structured Approach, Logical Approach, Attention to Detail, Accuracy, Performance Under Pressure, Conflict Management, Large Workload Management, Tight Deadline Management, Complex Technical Communication, Diversity and Inclusion","active directory, agile, ansible, aws, azure, bash, cisco, confluence, dhcp, dns, docker, gcp, git, jenkins, jira, kubernetes, ldap, linux, mongodb, oracle, powershell, python, splunk, sql, sql server, tcp/ip, terraform, vlan, vmware, windows server"
Sr Analyst IT - Data Science,"Data Analysis, Machine Learning, Python, PySpark, SQL, Statistical Models, Analytics Environment, Data Science, Communication Skills, Collaboration Skills, Analytical Skills, Problem Solving Skills, Bachelor's Degree in Computer Science Computer Information Systems Mathematics Statistics or Economics, Experience in a Consumer Packaged Goods Company","machine learning, python, sql"
"Distinguished Engineer, Card Tech Data (Remote-Elligble)","Data Engineering, Real Time API design, Cloud native platforms, Serverless computing, High performance computing, Microservices, Data pipelines, Data Mesh, Data Fabric, Multitenancy, Data platform strategies, Software engineering, Problem solving, Operational platforms, Distributed operational systems, Resilience, Scalability, High availability, Data cleaning, Data transformation, Mentoring, Recruiting, Bachelor's Degree, Master's Degree, At least 7 years experience, At least 8 years experience, At least 10 years experience",microservices
Data Engineering Manager - San Antonio,"Data Engineering, Leadership, Project Management, Data Warehousing, P&C Insurance, SQL, Talend, ETL, AWS, Big Data, Orchestration, Cloud Computing, Data Security, Data Governance, Communication, Collaboration, Snowflake, Agile, Java, Python, Linux, Hadoop, Spark, NoSQL, Machine Learning, AI, Data Analytics, Business Intelligence, Bachelor's or Master's degree in Computer Science Data Engineering or a related field from an accredited college or university, Proven handson experience with Snowflake SQL Talend AWS and big data technologies, Indepth knowledge of the Property and Casualty (P&C) insurance domain, Experience leading and managing data engineering teams, Strong communication skills with the ability to collaborate effectively across departments, Certifications in Snowflake Talend AWS or related technologies, Familiarity with data governance security and compliance standards","agile, ai, aws, c, etl, hadoop, java, linux, machine learning, python, spark, sql, talend"
Configuration and CDRL Data Manager II/III (Top Secret),"Top Secret Security, Configuration Management, Change Control, Technical Review Boards, Physical Configuration Audits, Functional Configuration Audits, IT Configuration Management, Software Configuration Management, Hardware Configuration Management, Firmware Configuration Management, Peripheral Configuration Management, Data Requirements, Contract Data Requirements List (CDRL), Data Calls, Data Requirements Review Boards (DRRBs), Statement of Work (SOW), Statement of Objectives (SOO), Performance Work Statement (PWS), Department of Defense (DoD), DoDI 5230.24, DODD 5230.25, DoD 5010.12M, DoD 5000.02R, DFARS 252.2277013, DFARS 252.2277014, ASSIST Database, MS Office Suite, Baseline Management, Version Control, Data Duplication, Media Labeling, Release Notes, CM Reports, Change Control Documentation, Baseline Administrative Activities, Briefings, Software Development Life Cycle, Database Management, Attention to Detail, Organizational Skills, Multitasking, Teamwork, US Citizenship",version control
"RDM Release Manager, Data Center and DMZ","Program management, Project management, Data Center, DMZ, B2B, VOR, Building Networking solutions, Wireless LAN, Structured Cabling, Cable Systems, Pathways, Public transport systems, Private transport systems, WAN, Optical systems, SwitchedEthernet, LTE, SDWAN, Cloud, Virtualized services, Network Appliance, Video, Voice, Voice over IP (VoIP), UC, Collaboration services, Jira, Confluence, LeanAgile, Scrum, Kanban, SAFe Agile methodologies, Change Management, Service Delivery, PMP, ITIL, CCNA, Risk management, Decision making, Strategic thinking, Business results, Ownership, Accountability, Communication, Influence, Organization, Detail orientation, Technical acumen, Partnership, Automation, Process improvement, Financial services, Insurance, Banking, Investment banking, Nimble, Flexible, Proactive, Reactive","agile, confluence, itil, jira, kanban, pmp, scrum"
Contractor - Epic Clarity Data Analyst - Revenue Cycle,"Data analysis, Data extraction, Data transformation, Data visualization, Data reporting, Epic Clarity reporting, SQL, Python, R, Statistical methods, Analytic methods, Epic Clarity Data Model certification, Epic Revenue Cycle certification, Certified Health Data Analyst (CHDA) certification, Project management, Agile Development, Written communication, Oral communication, Organizational skills, Analytical skills, Technical skills, User observation, Workflow analysis, Clinical experience, Healthcare data, Revenue cycle operations, EHR systems, Clinical teams, Operational teams, Senior leadership, Datadriven solutions, User experience, Informatics foundation, Digital solutions, Health system solutions","agile, python, sql"
Sr. Data Engineer,"Data Warehouse Architecture, Data Warehouse Modeling, ETL Processing, Data Processing, Confluent Kafka, Kinesis, Glue, Lambda, Snowflake, SQL Server, Python, PySpark, SQL, Data Profiling, Process Flow, Metric Logging, Error Handling, ETL Architecture, System Architectural Decisions, Development Standards, AWS Expertise, Kinesis, Glue (Spark), EMR, S3, Lambda, Athena, Streaming Services, Java Spring Framework, Spring Boot, Spring Cloud, Spring Data, NoSQL, Java","aws, data warehouse, etl, java, kafka, python, spark, spring boot, spring cloud, sql, sql server"
RA/QA Post Market Data Analyst,"Data Analytics, SQL, Tableau, Data Visualization, Business Requirements, Data Analysis, User Documentation, Data Integration, Report Monitoring, Test Result Documentation, Statistics, Mathematics, Computer Science, Visual Software, Medical Device, Pharmaceutical, Regulatory Industry, ERP Systems, Data Exploration, Presentation Skills, Writing Skills, SAP, CRM","sap, sql, tableau"
"Sr ML Engineering Manager , Firefly App Integrations","AI/ML, ML frameworks, Pytorch, SageMaker, HuggingFace, Image Processing, Computer Vision, Generative AI, GPU workload optimization, Model serving, Orchestration, Scaling, GPU resource management, Communication, Collaboration, Analytical skills, Problemsolving, Datadriven decisionmaking, Latest trends and technologies in AI/ML, Bachelor's/Master's in Computer Science Electrical Engineering Computer Vision or related field","ai, computer vision, pytorch"
Data Warehouse Analyst,"Data Analysis, Data Modeling, Data Warehouse Systems, Power BI, Tableau, DB2, SQL Server, Oracle, Data Warehouse Architecture, ETL Processes, SQL, GQL, SAS, Data Quality Processes, Metadata Management, Relational Database Platforms","data modeling, data warehouse, db2, etl, oracle, power bi, sql, sql server, tableau"
Data Analyst,"SQL, Tableau, Data Analytics, BI, Data Manipulation, Data Visualization, Data Modeling, Data Mining, Data Warehouse Design, Data Extraction, Dashboards, Data Communication, Data Analysis, Data Interpretation, FinTech","data modeling, data warehouse, sql, tableau"
Sr. Data Engineer (Hybrid),"Hadoop, Spark, Postgres, Angular JS, Scala, NoSQL, Python, SQL, Java, MapReduce, Hive, EMR, Kafka, Gurobi, MySQL, Mongo, Cassandra, Redshift, Snowflake, UNIX/Linux, Agile engineering practices, Data pipeline frameworks, Data APIs, Data delivery services, Analytical models, Cloud Production environments, Multitier multiplatform systems, Data warehousing, Realtime data, Streaming applications","agile, angular, cassandra, hadoop, hive, java, kafka, linux, mysql, python, spark, sql"
"Technical Lead, Edge Data Center Operations","Data Center Infrastructure, Server Hardware Troubleshooting, Network Hardware Troubleshooting, Server and Network Equipment, Data Center Environments, Server Provisioning, Network Provisioning, Break/Fix Tasks, Server Hardware, Network Infrastructure, Scalability, High Availability, OnCall Rotation, Edge/POP Sites, Low Voltage Cabling, BOMs, Vendor Management, Automation, Root Cause Analysis, Runbooks, SOPs, MOPs, Fitness Program, CalTrain Go Pass, 401k Program, Flexible Vacation Policy, Medical Coverage, Dental Coverage, Vision Coverage, Unlimited Snacks, Onsite Fitness Center, Fitness Credit, Catered Lunches",go
Supply Chain Data Analyst,"Data Engineering, Data Analysis, Predictive Modeling, Data visualization tools, Python, R, SQL, Tableau/Domo, AS400, ERP systems, Inventory Management, Forecasting, Time Series Analysis, Regression Analysis, Machine Learning Algorithms, Communication skills, Team Collaboration","machine learning, python, sql, tableau"
"Manager, Data Loss Prevention (DLP) Engineer (Symantec)","Data Loss Prevention (DLP), Symantec, Data Protection, Cybersecurity, SaaS, IaaS, Web proxy, Email, Endpoint solutions, Cloudbased infrastructure, Agile delivery model, Public cloud security, Multicloud environments, JIRA, AWS Cloud Practitioner, AWS Solution Architect  Associate, AWS Developer  Associate, AWS Security  Specialty, AWS Solution Architect  Professional, CISSP, GIAC, CISM, CCSP, CISA, Security+, URL filtering, Proxy, Network DLP, Scripting, Technical writing","agile, aws, cism, cissp, jira"
Data Steward - Research Analysis Spec Sr,"Environmental Science, Engineering, Computer Science, GIS, Environmental Science, Statistics, Environmental Health, Toxicology, Data Research, Data Analysis, SQL, Tableau, Python, R, Data Science, Data Stewardship, Data Management, Quantitative Analysis, Statistical Modeling, Program Evaluation, Project Management, Communication Skills, Spatial Analysis, Qualitative Analysis","python, sql, tableau"
Contractor - Epic Clarity Data Analyst - Revenue Cycle,"Healthcare Data Analysis, Data Visualization, SQL, Python, R, Statistical Methods, Epic Clarity Reporting, Revenue Cycle Modules, Project Management, Agile Development, User Observation, DataDriven Solutions, Informatics, Strategy Documents, Data Dictionaries, Communication Skills, Organizational Skills, Analytical Skills, Technical Abilities","agile, python, sql"
