job_title,job_skills,market_source,cleaned_skills,job_category
Data Engineer Manager,"Data Engineering, Data Analytics, Data Warehousing, Data Modelling, Data Pipeline Design, ETL (Extract Transform Load), Cloud Computing, Data Lake, Data Strategy, Data Management, Data Governance, SQL, Python, Advanced Statistics, Machine Learning, Team Leadership, Business Requirements Gathering, Business Intelligence, Reporting, Data Visualization, Data Quality, Data Security, Full UK Driving Licence",Global,"etl, machine learning, python, sql",Data Engineer
Data Analyst Part Time,"Data Analysis, Data Visualization, Statistical Techniques, Machine Learning, Data Mining, SQL, Python, R, Tableau, Power BI, Data Modeling, Data Quality Management, Data Processing, A/B Testing, Statistical Modeling, Hypothesis Testing, Data Management, ETL Processes, Business Intelligence, DataDriven Decision Making",Global,"data modeling, etl, machine learning, power bi, python, sql, tableau",Data Analyst
IT Database Developer Senior - DBA Admin,"SQL Server, SSIS, Power BI, Azure, AWS, Windows, Linux, PowerShell, SQL DBA, System Utilities, Debugging Tools, Monitoring Tools, Corporate Database Standards, Strategic Database Technologies, Data Management Principles, Data Management Techniques, Information Systems",Global,"aws, azure, linux, power bi, powershell, sql, sql server, ssis",Data Engineer
Contractor - Epic Clarity Data Analyst - Revenue Cycle,"Revenue Cycle, Healthcare Data Analysis, Data Visualization, Epic Clarity Reporting, SQL, Python, R, Analytic Methods, Statistical Methods, Project Management, Agile Development, Communication Skills, Technical Abilities, Epic Revenue Cycle Certification, Certified Health Data Analyst (CHDA) certification, Bachelor of Science degree, 4+ years of relevant experience, 2+ years of data analysis in healthcare, Strong grasp of analytic and statistical methods, Clinical Experience, Excellent written and oral communication skills, Excellent organizational and analytical skills, Strong technical abilities",Global,"agile, python, sql",Data Analyst
Data Engineering Architect,"Data Engineering, Data Architect, Data Infrastructure, Data Pipelines, AWS S3, AWS EMR, GraphQL API, Data Science, Data Analysis, SQL, NoSQL, DataFocused Programming Languages, Python, R, Scala, Petabytes of Data, Bachelor's Degree, Master's Degree, AWS Certified Cloud Data Engineer, ETL Systems, ELT Systems",Global,"aws, elt, etl, graphql, python, sql",Data Engineer
"Staff Data Engineer, Fleet Analytics","Data analytics, Data engineering, Data science, Data processing, Data pipelines, Data visualizations, Machine learning, Software engineering, Python, SQL, Scala, Hadoop Distributed File System (HDFS), Spark, Presto, Linux, Ansible, Docker, Kubernetes, Jupyter Notebooks, Pandas, Bokeh, Superset, Airflow, Statistics, Communication skills, Problemsolving skills",Global,"ansible, docker, hadoop, kubernetes, linux, machine learning, python, spark, sql",Data Engineer
"Senior Data Engineer - Azure, Python, Scala, Spark","Azure, ADLS, Databricks, Stream Analytics, SQL DW, COSMOS DB, Analysis Services, Azure Functions, Serverless Architecture, ARM Templates, Python, SQL, Scala, SparkSQL, Hadoop, Spark, Kafka, Postgres, Cassandra, Azkaban, Luigi, Airflow, Storm",Global,"azure, cassandra, hadoop, kafka, python, spark, sql",Data Engineer
"Senior Data Engineer, Public Company","Data Engineering, Business Intelligence, Data Science, Python, Snowflake, Airflow, Kubernetes, Docker, Helm, Spark, pySpark, SQL, TDD, Pair Programming, Continuous Integration, Automated Testing, Deployment, StreamProcessing Systems, Kafka, Storm, SparkStreaming, Dimensional Data Modeling, Schema Design, ETL, Data Warehouses, Data Management Tools, Data Classification, Data Retention",Global,"data modeling, docker, etl, kafka, kubernetes, python, spark, sql, tdd",Data Engineer
"Lead Software Engineer, Full Stack (Enterprise Data)","Software Engineering, Microservices, Full Stack Development, Cloud Computing (AWS Microsoft Azure Google Cloud), Programming Languages (Python Go), AWS Tools and Services, Data Management, Data Compliance, Mentoring, Technical Problem Solving, Agile Practices, People Management, Open Source Frameworks (Airflow Spark Presto Snowflake), Regulatory Compliance",Global,"agile, aws, azure, go, google cloud, microservices, python, spark",Fullstack Developer
VCP Design to Value Project Manager and Data Analyst-MR,"Variable Cost Productivity, Data Analytics, Costbenefit Analysis, Return on Investment Analysis, Product Configuration Management, Locally Sourced Items, Data Mining, LEAN, Six Sigma, ISO, CFDA, SQL, HTML, CSS, JavaScript, Python, C++, Java",Global,"c++, css, html, java, javascript, python, sql",Data Analyst
"Lead Data Engineer, (Python, Java or Scala)","Python, Java, Scala, Agile, Data Modeling, Machine Learning, Distributed Microservices, Cloud Computing, AWS, Microsoft Azure, Google Cloud, Open Source RDBMS, NoSQL, Cloudbased Data Infrastructure, SQL, Hadoop, Hive, EMR, Kafka, Spark, Gurobi, MySQL, UNIX/Linux, Agile Engineering Practices",Global,"agile, aws, azure, data modeling, google cloud, hadoop, hive, java, kafka, linux, machine learning, microservices, mysql, python, spark, sql",Data Engineer
Data Scientist,"Data science, Machine learning, Artificial intelligence, Data management, Data analysis, Data visualization, Business intelligence, Data mining, R, Python, Pytorch, Tensorflow, Model building",Global,"artificial intelligence, machine learning, python, pytorch, tensorflow",Data Scientist
Senior Data Analyst,"Data Analysis, Reporting, Team Management, Data Systems Improvement, SQL, Tableau, Excel, Leadership, Decision Making, Time Management, Communication, Team Work, Annual Leave, Benefits, Performance Bonus, Pension Scheme, Life Assurance, Colleague Discount, Training",Global,"excel, sql, tableau",Data Analyst
Data Visualization / Business Intelligence Analyst (3019),"Data Visualization, Business Intelligence, Power BI, DAX, SQL, TransactSQL, OLTP, OLAP, ETL/ELT, Excel, Data Structures, Data Integrity, Software Development Lifecycle, Security, Privacy, Documentation, Communication, Interpersonal Skills, Presentation Skills, Critical Thinking, Problem Solving, Analytical Skills, Initiative, Teamwork, Time Management, Prioritization, DoD 8570, SECNAV 5239.2, Secret Clearance or ability to obtain, Bachelor's degree in Computer Science Information Systems or Computer Engineering, 4 years related experience, 3+ years of BI development using Power BI or equivalent tool, 3+ years of SQL and databases, 3+ years of Excel experience, Knowledge of ETL/ELT techniques and methodologies along with best practices, Exceptional analytical critical thinking and problemsolving abilities, Highly selfdirected, Takes initiative, Can work independently while being a strong contributor to a team, Effective prioritization and time management skills, Can thrive in a dynamic environment in which priorities might change frequently, Excellent communication and interpersonal skills, Strong documentation and presentation skills, Work requires CSWF certification, Security+ or CISSP",Global,"cissp, dax, elt, etl, excel, power bi, sql",Data Analyst
Senior Data Architect,"Data Modelling, Data Architecture, Data Governance, Data Standards, Data Analysis, Data Synthesis, Data Profiling, Source System Analysis, Metadata Management, AWS, Azure, SQL Server, RedShift, JIRA, Confluence, Draw IO, Visio, Collibra, Informatica, Communicating between Technical and NonTechnical Subjects, Engaging Collaboratively with Stakeholders, Leading Process Development, Evaluating Existing Data Systems, Providing Comprehensive Documentation, Championing Opportunities for Enhancing Current Data Architecture, Designing Data Architecture that Deals with Problems Spanning Different Business Areas, Identifying Similarities between Problems to Devise Common Solutions, Understanding the Impact on the Organisation of Emerging Trends in Data Tools Analysis Techniques and Data Usage, Working within a Strategic Context and Communicating How Activities Meet Strategic Goals",Global,"aws, azure, confluence, jira, sql server",Data Engineer
"Senior Data Engineer, Public Company","Python, Data Engineering, Data Science, Business Intelligence, Snowflake, Airflow, Kubernetes, Docker, Helm, Spark, PySpark, SQL, Data Warehouses, Kafka, Storm, SparkStreaming, ETL, TDD, Pair Programming, Continuous Integration, Deployment, Agile Engineering Practices, Dimensional Data Modeling, Schema Design, Legal Compliance, Data Classification, Data Retention",Global,"agile, data modeling, docker, etl, kafka, kubernetes, python, spark, sql, tdd",Data Engineer
Senior ML Engineer,"Machine learning, Deep learning, Computer vision, Object detection, Python, C++, Linux, Git, Automotive AI, Medical device, Data pipelines, Design, Deployment, Algorithm optimization",Global,"ai, c++, computer vision, deep learning, git, linux, machine learning, python",AI / Machine Learning Engineer
Sr. Data Scientist,"Data Analytics, Data Engineering, Data Mining, Exploratory Analysis, Predictive Analysis, Statistical Analysis, Artificial Intelligence, Machine Learning, Data Visualization, Microsoft Office (Power BI), Tableau, R, Python, SQL, MultiINT Analytics, Automated Predictive Analytics, TS/SCI, Master's Degree, Bachelor's Degree, 12+ Years of Experience, 5+ Years of Related Experience",Global,"artificial intelligence, machine learning, power bi, python, sql, tableau",Data Scientist
Sr. Data Engineer - ETL with Security Clearance,"ETL, Master Data Management, Data pipelines, Databricks, AWS services, Data quality, Data validation, Data cleansing, Data enrichment, Agile Scrum SDLC, Unit testing, Integration testing, User acceptance testing, Scala, Java, Apache Spark, AWS Glue, Data Lakehouse architecture, OpenSearch, Amazon S3, Amazon Redshift, Tika, Docker, ElasticSearch, NoSQL databases, AWS Lambda, SQS, NiFi",Global,"agile, apache, aws, docker, elasticsearch, etl, java, scrum, sdlc, spark",Data Engineer
Sr Analyst IT - Data Science,"Data Analysis, Machine Learning, Python, PySpark, SQL, Statistical Models, Analytics Environment, Data Science, Communication Skills, Collaboration Skills, Analytical Skills, Problem Solving Skills, Bachelor's Degree in Computer Science Computer Information Systems Mathematics Statistics or Economics, Experience in a Consumer Packaged Goods Company",Global,"machine learning, python, sql",Data Scientist
Data Engineering Manager - San Antonio,"Data Engineering, Leadership, Project Management, Data Warehousing, P&C Insurance, SQL, Talend, ETL, AWS, Big Data, Orchestration, Cloud Computing, Data Security, Data Governance, Communication, Collaboration, Snowflake, Agile, Java, Python, Linux, Hadoop, Spark, NoSQL, Machine Learning, AI, Data Analytics, Business Intelligence, Bachelor's or Master's degree in Computer Science Data Engineering or a related field from an accredited college or university, Proven handson experience with Snowflake SQL Talend AWS and big data technologies, Indepth knowledge of the Property and Casualty (P&C) insurance domain, Experience leading and managing data engineering teams, Strong communication skills with the ability to collaborate effectively across departments, Certifications in Snowflake Talend AWS or related technologies, Familiarity with data governance security and compliance standards",Global,"agile, ai, aws, c, etl, hadoop, java, linux, machine learning, python, spark, sql, talend",Data Engineer
Contractor - Epic Clarity Data Analyst - Revenue Cycle,"Data analysis, Data extraction, Data transformation, Data visualization, Data reporting, Epic Clarity reporting, SQL, Python, R, Statistical methods, Analytic methods, Epic Clarity Data Model certification, Epic Revenue Cycle certification, Certified Health Data Analyst (CHDA) certification, Project management, Agile Development, Written communication, Oral communication, Organizational skills, Analytical skills, Technical skills, User observation, Workflow analysis, Clinical experience, Healthcare data, Revenue cycle operations, EHR systems, Clinical teams, Operational teams, Senior leadership, Datadriven solutions, User experience, Informatics foundation, Digital solutions, Health system solutions",Global,"agile, python, sql",Data Analyst
Sr. Data Engineer,"Data Warehouse Architecture, Data Warehouse Modeling, ETL Processing, Data Processing, Confluent Kafka, Kinesis, Glue, Lambda, Snowflake, SQL Server, Python, PySpark, SQL, Data Profiling, Process Flow, Metric Logging, Error Handling, ETL Architecture, System Architectural Decisions, Development Standards, AWS Expertise, Kinesis, Glue (Spark), EMR, S3, Lambda, Athena, Streaming Services, Java Spring Framework, Spring Boot, Spring Cloud, Spring Data, NoSQL, Java",Global,"aws, data warehouse, etl, java, kafka, python, spark, spring boot, spring cloud, sql, sql server",Data Engineer
RA/QA Post Market Data Analyst,"Data Analytics, SQL, Tableau, Data Visualization, Business Requirements, Data Analysis, User Documentation, Data Integration, Report Monitoring, Test Result Documentation, Statistics, Mathematics, Computer Science, Visual Software, Medical Device, Pharmaceutical, Regulatory Industry, ERP Systems, Data Exploration, Presentation Skills, Writing Skills, SAP, CRM",Global,"sap, sql, tableau",Data Analyst
"Sr ML Engineering Manager , Firefly App Integrations","AI/ML, ML frameworks, Pytorch, SageMaker, HuggingFace, Image Processing, Computer Vision, Generative AI, GPU workload optimization, Model serving, Orchestration, Scaling, GPU resource management, Communication, Collaboration, Analytical skills, Problemsolving, Datadriven decisionmaking, Latest trends and technologies in AI/ML, Bachelor's/Master's in Computer Science Electrical Engineering Computer Vision or related field",Global,"ai, computer vision, pytorch",AI / Machine Learning Engineer
Data Analyst,"SQL, Tableau, Data Analytics, BI, Data Manipulation, Data Visualization, Data Modeling, Data Mining, Data Warehouse Design, Data Extraction, Dashboards, Data Communication, Data Analysis, Data Interpretation, FinTech",Global,"data modeling, data warehouse, sql, tableau",Data Analyst
Sr. Data Engineer (Hybrid),"Hadoop, Spark, Postgres, Angular JS, Scala, NoSQL, Python, SQL, Java, MapReduce, Hive, EMR, Kafka, Gurobi, MySQL, Mongo, Cassandra, Redshift, Snowflake, UNIX/Linux, Agile engineering practices, Data pipeline frameworks, Data APIs, Data delivery services, Analytical models, Cloud Production environments, Multitier multiplatform systems, Data warehousing, Realtime data, Streaming applications",Global,"agile, angular, cassandra, hadoop, hive, java, kafka, linux, mysql, python, spark, sql",Data Engineer
Supply Chain Data Analyst,"Data Engineering, Data Analysis, Predictive Modeling, Data visualization tools, Python, R, SQL, Tableau/Domo, AS400, ERP systems, Inventory Management, Forecasting, Time Series Analysis, Regression Analysis, Machine Learning Algorithms, Communication skills, Team Collaboration",Global,"machine learning, python, sql, tableau",Data Analyst
Contractor - Epic Clarity Data Analyst - Revenue Cycle,"Healthcare Data Analysis, Data Visualization, SQL, Python, R, Statistical Methods, Epic Clarity Reporting, Revenue Cycle Modules, Project Management, Agile Development, User Observation, DataDriven Solutions, Informatics, Strategy Documents, Data Dictionaries, Communication Skills, Organizational Skills, Analytical Skills, Technical Abilities",Global,"agile, python, sql",Data Analyst
Customer Service Representative/Data Analyst/Data Entry Clerk,"Data Analysis, Statistics, Machine Learning, Algorithms, A/B Testing, Data Visualization, SQL, R, Python, Tableau, Power BI, Data Management, ETL",Global,"etl, machine learning, power bi, python, sql, tableau",Data Analyst
"Senior Manager, Machine Learning Engineering","Machine Learning, Software Development, Data Engineering, DevOps, Scalability, Agile, Python, Scala, Java, Distributed Computing, Cloud Computing, SQL, ScikitLearn, PyTorch, Dask, Spark, TensorFlow, Data Gathering, Data Preparation, Data Pipelines, Data Warehousing, Data Lakes, AWS, Azure, Google Cloud Platform, DataBricks, SnowFlake",Global,"agile, aws, azure, google cloud, java, machine learning, python, pytorch, spark, sql, tensorflow",AI / Machine Learning Engineer
Data Engineer,"Data Analytics, Data Modeling, Database Design, Spark Framework, ELT (Extract Load Transform), SQL, Agile Project Delivery, Business Intelligence Tools (Tableau MicroStrategy Alteryx), Data Processing Technologies (Apache Spark Kafka), Cloud Environment (AWS), Python, Airflow, Pipeline Automation, ETL Processes, Data Quality Standards, Data integrity, Analytical skills, Multitasking, Communication, Problem Solving, Organizational Skills, Independent Work",Global,"agile, apache, aws, data modeling, elt, etl, kafka, python, spark, sql, tableau",Data Engineer
Senior Machine Learning Engineer,"Machine Learning, Python, Scala, Java, Scikitlearn, PyTorch, Dask, Spark, TensorFlow, AWS, Azure, Google Cloud, Distributed Computing, Data Pipelines, AI, Computer Science, Electrical Engineering, Mathematics, Distributed File Systems, Multinode Database Paradigms, Open Source ML Software, Research Paper Authorship, Data Science, Agile",Global,"agile, ai, aws, azure, google cloud, java, machine learning, python, pytorch, spark, tensorflow",AI / Machine Learning Engineer
Business Data Analyst - III (701569),"Data Warehouse, Teradata Technology, UNIX, SQL, Oracle, System of Records, Data Governance, Data Management, Data Lineage, Data Quality, Data Science, KPI Dashboards, Data Analysis, Data Modeling, Data Interpretation, ProblemSolving, Methodical Approach, Logical Approach, Work Planning, Deadlines, Accuracy, Attention to Detail, Engineering, 5 Years of Work Experience",Global,"data modeling, data warehouse, oracle, sql",Data Analyst
Senior Full-Stack Machine Learning Engineer- OPTIX,"Machine Learning, Data Visualization, Python, Scala, Java, R, Julia, Matlab, Spark, Hadoop, Agile Development, Geospatial Data, Tensorflow, Torch, Computer Vision, Natural Language Processing",Global,"agile, computer vision, hadoop, java, machine learning, python, spark, tensorflow",AI / Machine Learning Engineer
Technical Data Engineering Manager,"Data Engineering Management, Cloudbased Data Platforms, Data Solutions, Data Warehousing, Snowflake, SQL Server, Azure, System Architecture, Data Design, Python, SQL, Scala, Java, Realtime Data, Streaming Applications, Public Cloud (AWS Microsoft Azure Google Cloud), Data Quality, Metadata Management, Data Ops, Project Management, Agile Ceremonies, ProblemSolving, Root Cause Analysis, Continuous Improvement, Innovation, Distributed Data Platforms, Data Life Cycle, Security, Supply Chain, Distribution",Global,"agile, aws, azure, google cloud, java, python, sql, sql server",Data Engineer
"Staff Machine Learning Engineer, Series A","Machine Learning, Python, Numpy, Pandas, Jupyter, TensorFlow, PyTorch, Numba, Cloud services (GCP AWS Azure), Clinical team, Voice biomarker software, Depression and anxiety detection, Speech processing/recognition, Audio classification, Agile methodologies, Experiment tracking and reproducibility tools (MLFlow WandB DataBricks), FDA approvals for a softwareasamedical device (SaMD)",Global,"agile, aws, azure, gcp, machine learning, python, pytorch, tensorflow",AI / Machine Learning Engineer
Contractor - Epic Clarity Data Analyst,"Data extraction, Data transformation, Data analysis, Healthcare data, Data visualization, Epic Clarity reporting, SQL, Analytic methods, Statistical methods, Epic Clarity Data Model certification, Epic Clinical Data Model certification, Certified Health Data Analyst (CHDA) certification, Project management, Stakeholder observation, Python, R programming, Agile Development, Written communication, Oral communication, Organizational skills, Analytical skills, Technical skills, Clinical experience, Inpatient setting, Outpatient setting",Global,"agile, python, sql",Data Analyst
Senior People Data Scientist,"Data science, Statistical methods, Regression, Cluster analysis, HLM, Social network analysis, Text analysis, Longitudinal methods, Experimental methods, Python, R, SQL, Git, Data storytelling, Communication, Collaboration, Problemsolving, Analytical thinking, Attention to detail, Ability to work independently and as part of a team, Bachelor's or Master's degree in Data Science Statistics or a related field",Global,"git, python, sql",Data Scientist
Senior Machine Learning Engineer,"Machine Learning, Python, Scala, Java, Distributed Computing, Cloud Computing, Data Pipelines, Scikitlearn, PyTorch, Dask, Spark, TensorFlow, AWS, Azure, Google Cloud Platform, Responsible AI, Data Gathering, Agile, Data Preparation, Proof of Concept, Scalability, Performance, Monitoring, Continuous Integration, DevOps",Global,"agile, ai, aws, azure, google cloud, java, machine learning, python, pytorch, spark, tensorflow",AI / Machine Learning Engineer
NCDHHS- Health Informatics Data Analyst,"Health Informatics, Data Analysis, Population Health, Data Gathering, Data Storage, Data Sharing, Data Interpretation, Data Integrity, Electronic Medical Records, Health IT Systems, Structured Query Language (SQL), SAS Analytic Software, Data Formats, Reporting, Macro Language, Troubleshooting, Health Information Exchange (HIE), Clinical Data Capture, Social Determinants of Health, Public Health Programs, Data Quality Management, Data Governance, Data Security, Data Privacy, Data Visualization, Project Management, Communication, ProblemSolving, Analytical Thinking, Attention to Detail",Global,sql,Data Analyst
Senior Battery Data Scientist,"Statistical Modeling, Machine Learning, Cell Failure Detection, Battery Cycle Life Prediction, Bayesian Optimization, Prognostics, Predictive Maintenance, Multivariate Modeling, Experimental Design, DataDriven Modeling, Energy Storage Systems, Electrochemistry, Lithium Metal Batteries, HPC/Cloud Computing, Python, C/C++, TensorFlow, PyTorch",Global,"c/c++, machine learning, python, pytorch, tensorflow",Data Scientist
"Lead Machine Learning Engineer (Bangkok based, relocation provided)","Python3, Pyspark, Scripting, Hadoop, SQL, S3, Machine Learning, ML models, Random Forest, CNN, Regression models, Data Architecture, Data Warehousing, Software Engineering, Distributed Systems, Stream Processing, ML Modeling, Computation, Data Replication, Storage, Centralized Computation, Data API's, Agile, Test Driven Methodologies, Linux, Systems Administration",Global,"agile, hadoop, linux, machine learning, sql",AI / Machine Learning Engineer
Principal Machine Learning Engineer,"Machine Learning, Artificial Intelligence, Deep Learning, SparkML, Scikitlearn, Caret, Mlr, Mllib, Python, R, RESTful API, Data Modeling, Data Mining, Data Visualization, Machine Learning Pipelines, MLOps, Software Development, Model Deployment, Natural Language Processing, Computer Vision, Predictive Analytics, Forecasting, Time Series Analysis, Regression, Classification, Clustering, Dimensionality Reduction, Feature Engineering, Data Preprocessing, Data Cleaning, Data Transformation, Data Labeling, Model Evaluation, Model Tuning, Model Optimization, Model Deployment, Model Monitoring, Model Maintenance, Consulting, Communication, Problem Solving, Critical Thinking, Analytical Skills, Attention to Detail, Teamwork, Leadership, Flexibility, Adaptability, Strong Work Ethic, Passion for Learning, Bachelor's Degree in Computer Science or STEM, Master's Degree in Computer Science or STEM, PhD in Computer Science or STEM, 5+ years of experience in Machine Learning, 3+ years of experience in AI/Deep Learning, 3+ years of experience in Software Development, Experience with ML Libraries, Experience with Data Visualization Tools, Experience with Public Speaking, Ability to write Production Level Code, Ability to develop experimental and analytic plans for data modeling processes, Ability to determine cause and effect relationships, Consulting experience and track record of helping customers with their AI needs, Publications or presentation in recognized Machine Learning Deep Learning and Data Mining journals/conferences",Global,"ai, artificial intelligence, computer vision, data modeling, deep learning, machine learning, python",AI / Machine Learning Engineer
Lead Data & Analytics Engineer,"Data Engineering, Data Analysis, Data Modelling, Python, SQL, ETL/ELT, Data Warehousing, Data Lakes, Data Security, Data Privacy, Data Governance, Google Cloud Platform (GCP), Data Management, Backup and Recovery, Database Management, Leadership, Mentorship",Global,"elt, etl, gcp, google cloud, python, sql",Data Engineer
Volunteer: NHQ:IT - Enterprise Web Services - Code4Good Volunteer - Data Scientist,"Machine learning, Regression, Natural Language Processing (NLP), Neural networks, Quantitative research methods, Statistics, Bayesian analysis, Pandas, Scikitlearn, Stats models, TensorFlow, MXNet, SageMaker, R, API development, Java frameworks, Web services, UI development, Git, Atlassian Jira, Atlassian Confluence, Slack, Agile methodology, Computer science, Mathematics, Physics, Economics, Engineering, Statistics, Operations research, Quantitative social science",Global,"agile, confluence, git, java, jira, machine learning, nlp, tensorflow",Data Scientist
Lead Data Scientist,"Machine Learning, AI, Python, Data Gathering, Data Quality, System Architecture, Coding Best Practices, Lean / Agile Development Methodologies, Programming Languages (Python R Scala Java SQL), Deep Learning, CNNs, RNN, LSTMs, Generative AI, Large Language Models, Cognitive Services (AWS GCP Azure IBM Watson), Chatbots (Azure Chatbot Google DialogFlow Alexa RASA Amazon Lex), Perception, Computer Vision, Time Series Data, Text Analysis, Big Data (HDFS Hive Spark Scala), Data Visualization Tools (Tableau), Query Languages (SQL Hive), Applied Statistics, Distributions, Statistical Testing, Regression",Global,"agile, ai, aws, azure, computer vision, deep learning, gcp, hive, java, machine learning, python, spark, sql, tableau",Data Scientist
TT Assistant Professor - Data Science,"Data Science, Data Engineering, Data Visualization, Cyber Security, Natural Language Processing, Machine Learning, Quantitative Social Science, Statistics, Artificial Intelligence, Deep Learning, Distributed & Scalable Data Engineering, Social Data Analytics, Healthcare, Energy, Finance, Security, Research, Grant Writing, Service, IndustrySponsored Projects, Outreach, Recruiting, Diversity and Inclusion, Affirmative Action, Clery Act",Global,"artificial intelligence, deep learning, machine learning",Data Scientist
"Senior Manager, Machine Learning Engineering","Machine Learning, Programming, Data Engineering, Cloud Computing, Distributed Computing, Data Analytics, Agile Development, Team Leadership, Python, Scala, Java, AWS, Azure, Google Cloud Platform, scikitlearn, PyTorch, Dask, Spark, TensorFlow, Data Warehousing, Data Lakes",Global,"agile, aws, azure, google cloud, java, machine learning, python, pytorch, spark, tensorflow",AI / Machine Learning Engineer
